Waktu,ketinggian,intensitas,kategori_banjir
28/06/2016,3.84,,aman
29/06/2016,3.94,,aman
30/06/2016,5.4,25.0,Siaga1
01/07/2016,4.81,13.0,aman
02/07/2016,5.38,11.0,Siaga1
03/07/2016,5.1,,Siaga1
04/07/2016,5.02,30.5,Siaga1
05/07/2016,4.2,,aman
06/07/2016,4.08,28.0,aman
07/07/2016,3.96,,aman
08/07/2016,1.9,,aman
09/07/2016,3.67,,aman
10/07/2016,3.76,,aman
11/07/2016,4.18,5.0,aman
12/07/2016,5.27,49.0,Siaga1
13/07/2016,4.93,1.0,aman
14/07/2016,4.14,9.5,aman
15/07/2016,4.07,,aman
16/07/2016,4.28,,aman
17/07/2016,5.34,28.0,Siaga1
18/07/2016,4.72,,aman
19/07/2016,4.36,3.5,aman
20/07/2016,4.59,8.5,aman
21/07/2016,4.42,,aman
22/07/2016,5.09,14.5,Siaga1
23/07/2016,5.07,,Siaga1
24/07/2016,5.25,2.0,Siaga1
25/07/2016,4.56,,aman
26/07/2016,4.33,,aman
27/07/2016,4.01,,aman
28/07/2016,3.94,,aman
29/07/2016,3.75,,aman
30/07/2016,3.81,,aman
31/07/2016,3.72,,aman
01/08/2016,3.72,,aman
02/08/2016,3.65,,aman
03/08/2016,3.57,,aman
04/08/2016,3.49,,aman
05/08/2016,3.49,,aman
06/08/2016,3.46,,aman
07/08/2016,3.42,,aman
08/08/2016,3.55,,aman
09/08/2016,35,,aman
10/08/2016,3.51,,aman
11/08/2016,3.44,,aman
12/08/2016,3.38,,aman
13/08/2016,3.65,,aman
14/08/2016,4.03,,aman
15/08/2016,3.78,,aman
16/08/2016,3.97,,aman
17/08/2016,3.98,3.0,aman
18/08/2016,4,4.5,aman
19/08/2016,3.69,,aman
20/08/2016,3.57,,aman
21/08/2016,3.47,,aman
22/08/2016,3.41,,aman
23/08/2016,3.38,,aman
24/08/2016,3.39,,aman
25/08/2016,3.47,15.5,aman
26/08/2016,3.55,0.5,aman
27/08/2016,4.24,,aman
28/08/2016,4.05,,aman
29/08/2016,4.11,,aman
30/08/2016,4.73,17.0,aman
31/08/2016,4.32,2.0,aman
01/09/2016,3.87,,aman
02/09/2016,3.64,,aman
03/09/2016,3.71,10.0,aman
04/09/2016,4.43,16.5,aman
05/09/2016,4,7.0,aman
06/09/2016,3.72,0.5,aman
07/09/2016,4.07,47.0,aman
08/09/2016,3.91,2.0,aman
09/09/2016,3.62,1.0,aman
10/09/2016,3.66,,aman
11/09/2016,3.69,0.5,aman
12/09/2016,3.89,67.0,Siaga1
13/09/2016,3.69,37.0,aman
14/09/2016,3.55,,aman
15/09/2016,4.47,,aman
16/09/2016,4.05,11.0,aman
17/09/2016,6.23,47.0,Siaga2
18/09/2016,5.36,,Siaga1
19/09/2016,5.29,42.5,Siaga1
20/09/2016,5.85,7.5,Siaga1
21/09/2016,6.24,42.5,Siaga2
22/09/2016,5.12,,Siaga1
23/09/2016,4.95,,aman
24/09/2016,5.97,16.5,Siaga1
25/09/2016,5.4,14.0,Siaga1
26/09/2016,5.05,2.0,Siaga1
27/09/2016,4.69,,aman
28/09/2016,5.54,29.0,Siaga1
29/09/2016,4.89,1.5,aman
30/09/2016,4.72,,aman
01/10/2016,4.84,11.5,aman
02/10/2016,5.02,1.0,Siaga1
03/10/2016,6.07,52.5,Siaga2
04/10/2016,5.39,5.0,Siaga1
05/10/2016,5.35,3.5,Siaga1
06/10/2016,5.29,3.0,Siaga1
07/10/2016,5.05,,Siaga1
08/10/2016,4.54,,aman
09/10/2016,4.84,7.0,aman
10/10/2016,5.79,24.5,Siaga1
11/10/2016,5.17,4.0,Siaga1
12/10/2016,4.82,,aman
13/10/2016,4.62,,aman
14/10/2016,4.45,,aman
15/10/2016,4.9,,aman
16/10/2016,4.6,22.5,aman
17/10/2016,4.31,,aman
18/10/2016,4.13,6.0,aman
19/10/2016,4.04,,aman
20/10/2016,4.42,15.0,aman
21/10/2016,4.55,1.5,aman
22/10/2016,4.46,22.5,aman
23/10/2016,4.88,9.0,aman
24/10/2016,4.93,23.5,aman
25/10/2016,5.16,14.0,Siaga1
26/10/2016,5.96,20.0,Siaga1
27/10/2016,5.816,29.0,Siaga1
28/10/2016,6.19,11.5,Siaga2
29/10/2016,6.65,27.0,Siaga2
30/10/2016,6.82,9.5,Siaga2
31/10/2016,6.45,0.5,Siaga2
01/11/2016,6.66,38.5,Siaga2
02/11/2016,6.37,0.5,Siaga2
03/11/2016,6.33,40.5,Siaga2
04/11/2016,5.92,73.0,Siaga1
05/11/2016,5.3,1.5,Siaga1
06/11/2016,5.07,,Siaga1
07/11/2016,4.88,,aman
08/11/2016,4.87,4.5,aman
09/11/2016,5.25,,Siaga1
10/11/2016,6.72,70.0,Siaga2
11/11/2016,6.37,1.0,Siaga2
12/11/2016,6.37,24.0,Siaga2
13/11/2016,6.14,,Siaga2
14/11/2016,6.59,7.5,Siaga2
15/11/2016,6.54,6.0,Siaga2
16/11/2016,5.9,13.5,Siaga1
17/11/2016,5.45,23.0,Siaga1
18/11/2016,5.16,4.5,Siaga1
19/11/2016,5.18,12.0,Siaga1
20/11/2016,4.79,4.0,aman
21/11/2016,4.92,,aman
22/11/2016,5.06,7.5,Siaga1
23/11/2016,5.24,37.5,Siaga1
24/11/2016,5.68,,Siaga1
25/11/2016,5.92,31.5,Siaga1
26/11/2016,5.35,,Siaga1
27/11/2016,5.05,,Siaga1
28/11/2016,5.3,2.0,Siaga1
29/11/2016,5.63,47.0,Siaga1
30/11/2016,5.12,0.5,Siaga1
01/12/2016,5.56,16.0,Siaga1
02/12/2016,4.79,,aman
03/12/2016,4.36,,aman
04/12/2016,4.16,,aman
05/12/2016,4.80,3.0,aman
06/12/2016,4.96,1.5,aman
07/12/2016,4.96,,aman
08/12/2016,4.98,,aman
09/12/2016,5.83,,Siaga1
10/12/2016,5.46,13.5,Siaga1
11/12/2016,5.12,,Siaga1
12/12/2016,6.03,14.0,Siaga2
13/12/2016,5.76,5.0,Siaga1
14/12/2016,4.57,,aman
15/12/2016,5.64,21.0,Siaga1
16/12/2016,5.07,,Siaga1
17/12/2016,4.79,,aman
18/12/2016,4.55,,aman
19/12/2016,4.36,,aman
20/12/2016,4.32,,aman
21/12/2016,4.19,,aman
22/12/2016,4.03,,aman
23/12/2016,4.01,,aman
24/12/2016,3.29,,aman
25/12/2016,1.99,,aman
26/12/2016,4.12,11.0,aman
27/12/2016,4.04,,aman
28/12/2016,1.93,,aman
29/12/2016,3.96,,aman
30/12/2016,4,,aman
31/12/2016,4,,aman
01/01/2017,4.19,,aman
02/01/2017,04.02,,aman
03/01/2017,04.03,1,aman
04/01/2017,04.05,,aman
05/01/2017,3.97,30,aman
06/01/2017,4.28,,aman
07/01/2017,4.92,,aman
08/01/2017,3.86,,aman
09/01/2017,3.78,,aman
10/01/2017,3.32,,aman
11/01/2017,3.9,,aman
12/01/2017,3.94,11,aman
13/01/2017,4.26,,aman
14/01/2017,4.12,1.5,aman
15/01/2017,4.22,,aman
16/01/2017,4.34,,aman
17/01/2017,4.23,8.5,aman
18/01/2017,4.32,7.5,aman
19/01/2017,3.93,,aman
20/01/2017,3.87,,aman
21/01/2017,4.1,,aman
22/01/2017,4.75,9,aman
23/01/2017,4.77,13,aman
24/01/2017,4.43,,aman
25/01/2017,4.42,1,aman
26/01/2017,4.26,0.5,aman
27/01/2017,4.22,1,aman
28/01/2017,4.12,,aman
29/01/2017,4.14,,aman
30/01/2017,4,,aman
31/01/2017,4,,aman
01/02/2017,4.39,5.0,aman
02/02/2017,4.27,3.0,aman
03/02/2017,4.03,0.0,aman
04/02/2017,4.02,2.0,aman
05/02/2017,3.97,2.5,aman
06/02/2017,3.87,,aman
07/02/2017,3.34,,aman
08/02/2017,4.07,,aman
09/02/2017,5.00,26.0,aman
10/02/2017,4.83,10.5,aman
11/02/2017,4.50,3.5,aman
12/02/2017,4.74,8.5,aman
13/02/2017,4.60,1.5,aman
14/02/2017,4.91,9.5,aman
15/02/2017,4.72,5.0,aman
16/02/2017,4.83,1.5,aman
17/02/2017,4.66,,aman
18/02/2017,4.40,,aman
19/02/2017,4.27,,aman
20/02/2017,4.30,,aman
21/02/2017,5.16,16.0,Siaga1
22/02/2017,4.71,1.0,aman
23/02/2017,4.99,0.5,aman
24/02/2017,4.67,,aman
25/02/2017,5.66,14.5,Siaga1
26/02/2017,5.57,15.0,Siaga1
27/02/2017,5.54,6.5,Siaga1
28/02/2017,6.31,51.0,Siaga2
01/03/2017,6.41,4.5,Siaga2
02/03/2017,6.41,27.0,Siaga2
03/03/2017,6.33,8.0,Siaga2
04/03/2017,5.35,11.5,Siaga1
05/03/2017,5.41,1.5,Siaga1
06/03/2017,5.20,11.0,Siaga1
07/03/2017,6.03,11.5,Siaga2
08/03/2017,6.89,,Siaga2
09/03/2017,6.34,,Siaga2
10/03/2017,5.60,,Siaga1
11/03/2017,5.63,4.0,Siaga1
12/03/2017,5.55,,Siaga1
